# category_id	title	note
adult_movies_high_risk	365 Days	manual high-risk title
adult_movies_high_risk	365 Dni	manual high-risk title
adult_movies_high_risk	365 Days This Day	manual high-risk title
adult_movies_high_risk	365 Days: This Day	manual high-risk title
adult_movies_high_risk	The Next 365 Days	manual high-risk title
adult_movies_high_risk	Fifty Shades of Grey	manual high-risk title
adult_movies_high_risk	Fifty Shades Darker	manual high-risk title
adult_movies_high_risk	Fifty Shades Freed	manual high-risk title
adult_movies_high_risk	50 Shades of Grey	manual high-risk title
adult_movies_high_risk	50 Shades Darker	manual high-risk title
adult_movies_high_risk	50 Shades Freed	manual high-risk title
adult_movies_high_risk	Nymphomaniac	manual high-risk title
adult_movies_high_risk	Nymphomaniac Vol I	manual high-risk title
adult_movies_high_risk	Nymphomaniac Vol. I	manual high-risk title
adult_movies_high_risk	Nymphomaniac Volume I	manual high-risk title
adult_movies_high_risk	Nymphomaniac Vol II	manual high-risk title
adult_movies_high_risk	Nymphomaniac Vol. II	manual high-risk title
adult_movies_high_risk	Nymphomaniac Volume II	manual high-risk title
adult_movies_high_risk	Love 2015	manual high-risk title
adult_movies_high_risk	Love (2015)	manual high-risk title
adult_movies_high_risk	Love Gaspar Noe	manual high-risk title
adult_movies_high_risk	Gaspar Noe Love	manual high-risk title
adult_movies_high_risk	Gaspar Noé Love	manual high-risk title
adult_movies_high_risk	Blue Is the Warmest Colour	manual high-risk title
adult_movies_high_risk	Blue Is the Warmest Color	manual high-risk title
adult_movies_high_risk	La Vie d'Adele	manual high-risk title
adult_movies_high_risk	La Vie d’Adèle	manual high-risk title
adult_movies_high_risk	The Dreamers	manual high-risk title
adult_movies_high_risk	Last Tango in Paris	manual high-risk title
adult_movies_high_risk	9 1/2 Weeks	manual high-risk title
adult_movies_high_risk	9½ Weeks	manual high-risk title
adult_movies_high_risk	Nine 1/2 Weeks	manual high-risk title
adult_movies_high_risk	Wild Orchid	manual high-risk title
adult_movies_high_risk	Wild Orchid II	manual high-risk title
adult_movies_high_risk	Original Sin	manual high-risk title
adult_movies_high_risk	Eyes Wide Shut	manual high-risk title
adult_movies_high_risk	Basic Instinct	manual high-risk title
adult_movies_high_risk	Basic Instinct 2	manual high-risk title
adult_movies_high_risk	The Voyeurs	manual high-risk title
adult_movies_high_risk	Sliver	manual high-risk title
adult_movies_high_risk	Unfaithful	manual high-risk title
adult_movies_high_risk	Wild Things	manual high-risk title
adult_movies_high_risk	Wild Things 2	manual high-risk title
adult_movies_high_risk	Wild Things: Diamonds in the Rough	manual high-risk title
adult_movies_high_risk	Wild Things: Foursome	manual high-risk title
adult_movies_high_risk	The Handmaiden	manual high-risk title
adult_movies_high_risk	Cruel Intentions	manual high-risk title
adult_movies_high_risk	Cruel Intentions 2	manual high-risk title
adult_movies_high_risk	Cruel Intentions 3	manual high-risk title
adult_movies_high_risk	Fatal Attraction	manual high-risk title
adult_movies_high_risk	Body Heat	manual high-risk title
adult_movies_high_risk	Body Double	manual high-risk title
adult_movies_high_risk	Color of Night	manual high-risk title
adult_movies_high_risk	Jade	manual high-risk title
adult_movies_high_risk	Disclosure	manual high-risk title
adult_movies_high_risk	Indecent Proposal	manual high-risk title
adult_movies_high_risk	Body of Evidence	manual high-risk title
adult_movies_high_risk	The Last Seduction	manual high-risk title
adult_movies_high_risk	Poison Ivy	manual high-risk title
adult_movies_high_risk	Poison Ivy II	manual high-risk title
adult_movies_high_risk	Poison Ivy: The New Seduction	manual high-risk title
